week,utcTime,homeName,awayName,matchName,fotmobId,whoscoredId
34,2026-05-17T17:00:00Z,Trabzonspor,Gençlerbirliği,Trabzonspor - Gençlerbirliği,4842620,1915523
34,2026-05-17T17:00:00Z,Samsunspor,Göztepe,Samsunspor - Göztepe,4842619,1915521
34,2026-05-17T17:00:00Z,Rizespor,Beşiktaş,Rizespor - Beşiktaş,4842618,1915518
34,2026-05-17T17:00:00Z,Kayserispor,Konyaspor,Kayserispor - Konyaspor,4842617,1915517
34,2026-05-17T17:00:00Z,Kasımpaşa,Galatasaray,Kasımpaşa - Galatasaray,4842616,1915516
34,2026-05-17T17:00:00Z,Gaziantep FK,Başakşehir,Gaziantep FK - Başakşehir,4842614,1915513
34,2026-05-17T17:00:00Z,Fenerbahçe,Eyüpspor,Fenerbahçe - Eyüpspor,4842613,1915512
34,2026-05-17T17:00:00Z,Fatih Karagümrük,Alanyaspor,Fatih Karagümrük - Alanyaspor,4842615,1915514
34,2026-05-17T17:00:00Z,Antalyaspor,Kocaelispor,Antalyaspor - Kocaelispor,4842612,1915511
33,2026-05-10T17:00:00Z,Konyaspor,Fenerbahçe,Konyaspor - Fenerbahçe,4842611,1915510
33,2026-05-10T17:00:00Z,Kocaelispor,Fatih Karagümrük,Kocaelispor - Fatih Karagümrük,4842610,1915509
33,2026-05-10T17:00:00Z,Başakşehir,Samsunspor,Başakşehir - Samsunspor,4842604,1915499
33,2026-05-10T17:00:00Z,Göztepe,Gaziantep FK,Göztepe - Gaziantep FK,4842609,1915508
33,2026-05-10T17:00:00Z,Gençlerbirliği,Kasımpaşa,Gençlerbirliği - Kasımpaşa,4842608,1915506
33,2026-05-10T17:00:00Z,Galatasaray,Antalyaspor,Galatasaray - Antalyaspor,4842607,1915505
33,2026-05-10T17:00:00Z,Eyüpspor,Rizespor,Eyüpspor - Rizespor,4842606,1915503
33,2026-05-10T17:00:00Z,Beşiktaş,Trabzonspor,Beşiktaş - Trabzonspor,4842605,1915501
33,2026-05-10T17:00:00Z,Alanyaspor,Kayserispor,Alanyaspor - Kayserispor,4842603,1915497
32,2026-05-03T17:00:00Z,Trabzonspor,Göztepe,Trabzonspor - Göztepe,4842602,1915495
32,2026-05-03T17:00:00Z,Samsunspor,Galatasaray,Samsunspor - Galatasaray,4842601,1915493
32,2026-05-03T17:00:00Z,Rizespor,Konyaspor,Rizespor - Konyaspor,4842600,1915491
32,2026-05-03T17:00:00Z,Kayserispor,Eyüpspor,Kayserispor - Eyüpspor,4842599,1915489
32,2026-05-03T17:00:00Z,Kasımpaşa,Kocaelispor,Kasımpaşa - Kocaelispor,4842598,1915486
32,2026-05-03T17:00:00Z,Gaziantep FK,Beşiktaş,Gaziantep FK - Beşiktaş,4842596,1915480
32,2026-05-03T17:00:00Z,Fenerbahçe,Başakşehir,Fenerbahçe - Başakşehir,4842595,1915478
32,2026-05-03T17:00:00Z,Fatih Karagümrük,Gençlerbirliği,Fatih Karagümrük - Gençlerbirliği,4842597,1915484
32,2026-05-03T17:00:00Z,Antalyaspor,Alanyaspor,Antalyaspor - Alanyaspor,4842594,1915476
31,2026-04-26T17:00:00Z,Konyaspor,Trabzonspor,Konyaspor - Trabzonspor,4842593,1915473
31,2026-04-26T17:00:00Z,Kayserispor,Rizespor,Kayserispor - Rizespor,4842592,1915471
31,2026-04-26T17:00:00Z,Başakşehir,Kasımpaşa,Başakşehir - Kasımpaşa,4842586,1915456
31,2026-04-26T17:00:00Z,Göztepe,Antalyaspor,Göztepe - Antalyaspor,4842591,1915468
31,2026-04-26T17:00:00Z,Gençlerbirliği,Kocaelispor,Gençlerbirliği - Kocaelispor,4842590,1915465
31,2026-04-26T17:00:00Z,Galatasaray,Fenerbahçe,Galatasaray - Fenerbahçe,4842589,1915463
31,2026-04-26T17:00:00Z,Eyüpspor,Gaziantep FK,Eyüpspor - Gaziantep FK,4842588,1915460
31,2026-04-26T17:00:00Z,Beşiktaş,Fatih Karagümrük,Beşiktaş - Fatih Karagümrük,4842587,1915458
31,2026-04-26T17:00:00Z,Alanyaspor,Samsunspor,Alanyaspor - Samsunspor,4842585,1915454
30,2026-04-19T17:00:00Z,Trabzonspor,Başakşehir,Trabzonspor - Başakşehir,4842584,1915452
30,2026-04-19T17:00:00Z,Samsunspor,Beşiktaş,Samsunspor - Beşiktaş,4842583,1915450
30,2026-04-19T17:00:00Z,Kocaelispor,Göztepe,Kocaelispor - Göztepe,4842582,1915448
30,2026-04-19T17:00:00Z,Kasımpaşa,Alanyaspor,Kasımpaşa - Alanyaspor,4842581,1915446
30,2026-04-19T17:00:00Z,Gençlerbirliği,Galatasaray,Gençlerbirliği - Galatasaray,4842579,1915442
30,2026-04-19T17:00:00Z,Gaziantep FK,Kayserispor,Gaziantep FK - Kayserispor,4842578,1915439
30,2026-04-19T17:00:00Z,Fenerbahçe,Rizespor,Fenerbahçe - Rizespor,4842577,1915437
30,2026-04-19T17:00:00Z,Fatih Karagümrük,Eyüpspor,Fatih Karagümrük - Eyüpspor,4842580,1915444
30,2026-04-19T17:00:00Z,Antalyaspor,Konyaspor,Antalyaspor - Konyaspor,4842576,1915435
29,2026-04-12T17:00:00Z,Rizespor,Gaziantep FK,Rizespor - Gaziantep FK,4842575,1915433
29,2026-04-12T17:00:00Z,Konyaspor,Fatih Karagümrük,Konyaspor - Fatih Karagümrük,4842574,1915431
29,2026-04-12T17:00:00Z,Kayserispor,Fenerbahçe,Kayserispor - Fenerbahçe,4842573,1915428
29,2026-04-12T17:00:00Z,Başakşehir,Gençlerbirliği,Başakşehir - Gençlerbirliği,4842568,1915418
29,2026-04-12T17:00:00Z,Göztepe,Kasımpaşa,Göztepe - Kasımpaşa,4842572,1915426
29,2026-04-12T17:00:00Z,Galatasaray,Kocaelispor,Galatasaray - Kocaelispor,4842571,1915424
29,2026-04-12T17:00:00Z,Eyüpspor,Samsunspor,Eyüpspor - Samsunspor,4842570,1915422
29,2026-04-12T17:00:00Z,Beşiktaş,Antalyaspor,Beşiktaş - Antalyaspor,4842569,1915420
29,2026-04-12T17:00:00Z,Alanyaspor,Trabzonspor,Alanyaspor - Trabzonspor,4842567,1915416
